model,corruption,severity,accuracy
Baseline,gaussian_noise,1,81.6
Baseline,gaussian_noise,2,78.05
Baseline,gaussian_noise,3,73.13
Baseline,gaussian_noise,4,70.32
Baseline,gaussian_noise,5,66.58
Baseline,shot_noise,1,82.32
Baseline,shot_noise,2,81.19
Baseline,shot_noise,3,76.54
Baseline,shot_noise,4,74.25
Baseline,shot_noise,5,69.05
Baseline,impulse_noise,1,79.16
Baseline,impulse_noise,2,73.59
Baseline,impulse_noise,3,67.88
Baseline,impulse_noise,4,57.19
Baseline,impulse_noise,5,48.53
Baseline,defocus_blur,1,82.4
Baseline,defocus_blur,2,80.4
Baseline,defocus_blur,3,76.55
Baseline,defocus_blur,4,70.94
Baseline,defocus_blur,5,56.28
Baseline,glass_blur,1,73.65
Baseline,glass_blur,2,73.68
Baseline,glass_blur,3,74.49
Baseline,glass_blur,4,62.96
Baseline,glass_blur,5,65.49
Baseline,motion_blur,1,77.58
Baseline,motion_blur,2,70.76
Baseline,motion_blur,3,64.48
Baseline,motion_blur,4,65.1
Baseline,motion_blur,5,59.3
Baseline,zoom_blur,1,75.28
Baseline,zoom_blur,2,73.71
Baseline,zoom_blur,3,70.27
Baseline,zoom_blur,4,66.53
Baseline,zoom_blur,5,61.24
Baseline,snow,1,80.59
Baseline,snow,2,76.28
Baseline,snow,3,73.88
Baseline,snow,4,70.62
Baseline,snow,5,71.55
Baseline,frost,1,80.86
Baseline,frost,2,77.85
Baseline,frost,3,73.01
Baseline,frost,4,72.97
Baseline,frost,5,68.16
Baseline,fog,1,81.95
Baseline,fog,2,77.92
Baseline,fog,3,72.14
Baseline,fog,4,63.47
Baseline,fog,5,46.33
Baseline,brightness,1,82.7
Baseline,brightness,2,82.3
Baseline,brightness,3,81.48
Baseline,brightness,4,80.31
Baseline,brightness,5,76.07
Baseline,contrast,1,80.94
Baseline,contrast,2,69.07
Baseline,contrast,3,57.17
Baseline,contrast,4,41.49
Baseline,contrast,5,25.24
Baseline,elastic_transform,1,77.1
Baseline,elastic_transform,2,77.27
Baseline,elastic_transform,3,74.55
Baseline,elastic_transform,4,72.7
Baseline,elastic_transform,5,71.58
Baseline,pixelate,1,82.43
Baseline,pixelate,2,81.78
Baseline,pixelate,3,80.74
Baseline,pixelate,4,79.73
Baseline,pixelate,5,74.82
Baseline,jpeg_compression,1,81.51
Baseline,jpeg_compression,2,80.64
Baseline,jpeg_compression,3,80.28
Baseline,jpeg_compression,4,79.58
Baseline,jpeg_compression,5,78.59
Baseline,speckle_noise,1,82.11
Baseline,speckle_noise,2,80.27
Baseline,speckle_noise,3,78.11
Baseline,speckle_noise,4,73.53
Baseline,speckle_noise,5,68.46
Baseline,gaussian_blur,1,82.44
Baseline,gaussian_blur,2,76.28
Baseline,gaussian_blur,3,70.58
Baseline,gaussian_blur,4,64.49
Baseline,gaussian_blur,5,52.19
Baseline,spatter,1,80.5
Baseline,spatter,2,75.74
Baseline,spatter,3,71.16
Baseline,spatter,4,73.53
Baseline,spatter,5,65.83
Baseline,saturate,1,78.35
Baseline,saturate,2,75.11
Baseline,saturate,3,81.37
Baseline,saturate,4,76.32
Baseline,saturate,5,69.96
Mixup(alpha=0.2),gaussian_noise,1,81.43
Mixup(alpha=0.2),gaussian_noise,2,77.94
Mixup(alpha=0.2),gaussian_noise,3,73.31
Mixup(alpha=0.2),gaussian_noise,4,70.05
Mixup(alpha=0.2),gaussian_noise,5,67.07
Mixup(alpha=0.2),shot_noise,1,81.96
Mixup(alpha=0.2),shot_noise,2,80.71
Mixup(alpha=0.2),shot_noise,3,76.84
Mixup(alpha=0.2),shot_noise,4,73.8
Mixup(alpha=0.2),shot_noise,5,69.03
Mixup(alpha=0.2),impulse_noise,1,78.72
Mixup(alpha=0.2),impulse_noise,2,73.3
Mixup(alpha=0.2),impulse_noise,3,68.05
Mixup(alpha=0.2),impulse_noise,4,57.52
Mixup(alpha=0.2),impulse_noise,5,48.62
Mixup(alpha=0.2),defocus_blur,1,82.14
Mixup(alpha=0.2),defocus_blur,2,80.18
Mixup(alpha=0.2),defocus_blur,3,76.57
Mixup(alpha=0.2),defocus_blur,4,71.32
Mixup(alpha=0.2),defocus_blur,5,55.25
Mixup(alpha=0.2),glass_blur,1,74.12
Mixup(alpha=0.2),glass_blur,2,74.24
Mixup(alpha=0.2),glass_blur,3,74.86
Mixup(alpha=0.2),glass_blur,4,64.95
Mixup(alpha=0.2),glass_blur,5,66.31
Mixup(alpha=0.2),motion_blur,1,76.72
Mixup(alpha=0.2),motion_blur,2,69.99
Mixup(alpha=0.2),motion_blur,3,63.13
Mixup(alpha=0.2),motion_blur,4,62.85
Mixup(alpha=0.2),motion_blur,5,57.46
Mixup(alpha=0.2),zoom_blur,1,74.61
Mixup(alpha=0.2),zoom_blur,2,73.56
Mixup(alpha=0.2),zoom_blur,3,69.4
Mixup(alpha=0.2),zoom_blur,4,66.05
Mixup(alpha=0.2),zoom_blur,5,60.07
Mixup(alpha=0.2),snow,1,79.56
Mixup(alpha=0.2),snow,2,75.98
Mixup(alpha=0.2),snow,3,73.69
Mixup(alpha=0.2),snow,4,70.68
Mixup(alpha=0.2),snow,5,71.41
Mixup(alpha=0.2),frost,1,80.21
Mixup(alpha=0.2),frost,2,77.58
Mixup(alpha=0.2),frost,3,73.58
Mixup(alpha=0.2),frost,4,73.58
Mixup(alpha=0.2),frost,5,69.44
