model,corruption,severity,accuracy
Baseline + GAN synthetic data,gaussian_noise,1,80.93
Baseline + GAN synthetic data,gaussian_noise,2,77.8
Baseline + GAN synthetic data,gaussian_noise,3,73.58
Baseline + GAN synthetic data,gaussian_noise,4,70.46
Baseline + GAN synthetic data,gaussian_noise,5,66.78
Baseline + GAN synthetic data,shot_noise,1,82.07
Baseline + GAN synthetic data,shot_noise,2,80.9
Baseline + GAN synthetic data,shot_noise,3,76.24
Baseline + GAN synthetic data,shot_noise,4,73.79
Baseline + GAN synthetic data,shot_noise,5,69.04
Baseline + GAN synthetic data,impulse_noise,1,78.97
Baseline + GAN synthetic data,impulse_noise,2,73.33
Baseline + GAN synthetic data,impulse_noise,3,67.77
Baseline + GAN synthetic data,impulse_noise,4,57.05
Baseline + GAN synthetic data,impulse_noise,5,49.07
Baseline + GAN synthetic data,defocus_blur,1,82.59
Baseline + GAN synthetic data,defocus_blur,2,80.86
Baseline + GAN synthetic data,defocus_blur,3,77.92
Baseline + GAN synthetic data,defocus_blur,4,73.42
Baseline + GAN synthetic data,defocus_blur,5,60.33
Baseline + GAN synthetic data,glass_blur,1,73.34
Baseline + GAN synthetic data,glass_blur,2,73.59
Baseline + GAN synthetic data,glass_blur,3,74.11
Baseline + GAN synthetic data,glass_blur,4,63.67
Baseline + GAN synthetic data,glass_blur,5,65.57
Baseline + GAN synthetic data,motion_blur,1,77.84
Baseline + GAN synthetic data,motion_blur,2,71.02
Baseline + GAN synthetic data,motion_blur,3,64.17
Baseline + GAN synthetic data,motion_blur,4,64.53
Baseline + GAN synthetic data,motion_blur,5,58.37
Baseline + GAN synthetic data,zoom_blur,1,76.85
Baseline + GAN synthetic data,zoom_blur,2,75.61
Baseline + GAN synthetic data,zoom_blur,3,72.21
Baseline + GAN synthetic data,zoom_blur,4,69.09
Baseline + GAN synthetic data,zoom_blur,5,63.84
Baseline + GAN synthetic data,snow,1,79.65
Baseline + GAN synthetic data,snow,2,76.22
Baseline + GAN synthetic data,snow,3,72.88
Baseline + GAN synthetic data,snow,4,70.57
Baseline + GAN synthetic data,snow,5,70.26
Baseline + GAN synthetic data,frost,1,79.62
Baseline + GAN synthetic data,frost,2,76.19
Baseline + GAN synthetic data,frost,3,70.48
Baseline + GAN synthetic data,frost,4,70.76
Baseline + GAN synthetic data,frost,5,65.69
Baseline + GAN synthetic data,fog,1,81.78
Baseline + GAN synthetic data,fog,2,77.78
Baseline + GAN synthetic data,fog,3,72.29
Baseline + GAN synthetic data,fog,4,64.14
Baseline + GAN synthetic data,fog,5,47.44
Baseline + GAN synthetic data,brightness,1,82.47
Baseline + GAN synthetic data,brightness,2,81.88
Baseline + GAN synthetic data,brightness,3,80.97
Baseline + GAN synthetic data,brightness,4,79.57
Baseline + GAN synthetic data,brightness,5,75.41
Baseline + GAN synthetic data,contrast,1,80.35
Baseline + GAN synthetic data,contrast,2,68.92
Baseline + GAN synthetic data,contrast,3,56.72
Baseline + GAN synthetic data,contrast,4,40.41
Baseline + GAN synthetic data,contrast,5,22.52
Baseline + GAN synthetic data,elastic_transform,1,77.56
Baseline + GAN synthetic data,elastic_transform,2,77.97
Baseline + GAN synthetic data,elastic_transform,3,76.18
Baseline + GAN synthetic data,elastic_transform,4,73.69
Baseline + GAN synthetic data,elastic_transform,5,72.8
Baseline + GAN synthetic data,pixelate,1,82.22
Baseline + GAN synthetic data,pixelate,2,81.7
Baseline + GAN synthetic data,pixelate,3,80.92
Baseline + GAN synthetic data,pixelate,4,79.49
Baseline + GAN synthetic data,pixelate,5,75.2
Baseline + GAN synthetic data,jpeg_compression,1,81.32
Baseline + GAN synthetic data,jpeg_compression,2,80.34
Baseline + GAN synthetic data,jpeg_compression,3,79.93
Baseline + GAN synthetic data,jpeg_compression,4,79.42
Baseline + GAN synthetic data,jpeg_compression,5,78.59
Baseline + GAN synthetic data,speckle_noise,1,81.71
Baseline + GAN synthetic data,speckle_noise,2,79.67
Baseline + GAN synthetic data,speckle_noise,3,78.14
Baseline + GAN synthetic data,speckle_noise,4,73.25
Baseline + GAN synthetic data,speckle_noise,5,68.09
Baseline + GAN synthetic data,gaussian_blur,1,82.63
Baseline + GAN synthetic data,gaussian_blur,2,77.66
Baseline + GAN synthetic data,gaussian_blur,3,73.2
Baseline + GAN synthetic data,gaussian_blur,4,67.68
Baseline + GAN synthetic data,gaussian_blur,5,55.95
Baseline + GAN synthetic data,spatter,1,80.49
Baseline + GAN synthetic data,spatter,2,75.52
Baseline + GAN synthetic data,spatter,3,70.91
Baseline + GAN synthetic data,spatter,4,73.41
Baseline + GAN synthetic data,spatter,5,65.27
Baseline + GAN synthetic data,saturate,1,77.92
Baseline + GAN synthetic data,saturate,2,73.69
Baseline + GAN synthetic data,saturate,3,81.19
Baseline + GAN synthetic data,saturate,4,76.39
Baseline + GAN synthetic data,saturate,5,69.67
