model,corruption,avg_accuracy_over_severities
Baseline,brightness,80.572
Baseline,contrast,54.782
Baseline,defocus_blur,73.314
Baseline,elastic_transform,74.64
Baseline,fog,68.362
Baseline,frost,74.57000000000001
Baseline,gaussian_blur,69.196
Baseline,gaussian_noise,73.93599999999999
Baseline,glass_blur,70.054
Baseline,impulse_noise,65.27000000000001
Baseline,jpeg_compression,80.12
Baseline,motion_blur,67.444
Baseline,pixelate,79.9
Baseline,saturate,76.22200000000001
Baseline,shot_noise,76.67
Baseline,snow,74.584
Baseline,spatter,73.352
Baseline,speckle_noise,76.49600000000001
Baseline,zoom_blur,69.40599999999999
Mixup(alpha=0.2),brightness,80.09400000000001
Mixup(alpha=0.2),contrast,55.85
Mixup(alpha=0.2),defocus_blur,73.092
Mixup(alpha=0.2),elastic_transform,74.82000000000001
Mixup(alpha=0.2),fog,68.856
Mixup(alpha=0.2),frost,74.878
Mixup(alpha=0.2),gaussian_blur,69.032
Mixup(alpha=0.2),gaussian_noise,73.96000000000001
Mixup(alpha=0.2),glass_blur,70.896
Mixup(alpha=0.2),impulse_noise,65.24199999999999
Mixup(alpha=0.2),jpeg_compression,79.976
Mixup(alpha=0.2),motion_blur,66.03
Mixup(alpha=0.2),pixelate,80.2
Mixup(alpha=0.2),saturate,75.652
Mixup(alpha=0.2),shot_noise,76.46799999999999
Mixup(alpha=0.2),snow,74.264
Mixup(alpha=0.2),spatter,73.346
Mixup(alpha=0.2),speckle_noise,76.388
Mixup(alpha=0.2),zoom_blur,68.738
