epoch,train_loss,test_acc,lr,model_name,dataset
1,1.5337788095254727,42.23,0.0009938441702975688,Baseline,CIFAR-10
2,1.1684181309112198,53.87,0.0009755282581475768,Baseline,CIFAR-10
3,1.0141199116816606,66.89,0.0009455032620941839,Baseline,CIFAR-10
4,0.9128548534934783,63.33,0.0009045084971874737,Baseline,CIFAR-10
5,0.8366678219926936,69.32,0.0008535533905932737,Baseline,CIFAR-10
6,0.7721464659856714,60.08,0.0007938926261462366,Baseline,CIFAR-10
7,0.7165957126013763,69.47,0.0007269952498697733,Baseline,CIFAR-10
8,0.6725483276045231,68.24,0.0006545084971874737,Baseline,CIFAR-10
9,0.6281702669380266,74.98,0.0005782172325201155,Baseline,CIFAR-10
10,0.5937218285735001,65.08,0.0005,Baseline,CIFAR-10
11,0.5557786090599607,75.02,0.0004217827674798847,Baseline,CIFAR-10
12,0.5228056934331079,78.82,0.00034549150281252633,Baseline,CIFAR-10
13,0.4942251228920334,79.73,0.00027300475013022663,Baseline,CIFAR-10
14,0.46301308274269104,81.53,0.00020610737385376348,Baseline,CIFAR-10
15,0.433165899361186,81.17,0.00014644660940672625,Baseline,CIFAR-10
16,0.40733449122942317,82.25,9.549150281252631e-05,Baseline,CIFAR-10
17,0.3821030004173898,82.72,5.4496737905816096e-05,Baseline,CIFAR-10
18,0.3670691157622106,82.67,2.447174185242323e-05,Baseline,CIFAR-10
19,0.3574166982756246,82.94,6.15582970243117e-06,Baseline,CIFAR-10
20,0.346978735817058,82.85,0.0,Baseline,CIFAR-10
1,1.7375422545406214,45.47,0.0009938441702975688,Mixup(alpha=0.2),CIFAR-10
2,1.473656412585617,46.61,0.0009755282581475768,Mixup(alpha=0.2),CIFAR-10
3,1.3363747482409563,53.44,0.0009455032620941839,Mixup(alpha=0.2),CIFAR-10
4,1.2478182581074708,66.06,0.0009045084971874737,Mixup(alpha=0.2),CIFAR-10
5,1.1948462575292953,68.79,0.0008535533905932737,Mixup(alpha=0.2),CIFAR-10
6,1.1281287493303305,63.36,0.0007938926261462366,Mixup(alpha=0.2),CIFAR-10
7,1.086736304223385,74.64,0.0007269952498697733,Mixup(alpha=0.2),CIFAR-10
8,1.0794205357656455,70.16,0.0006545084971874737,Mixup(alpha=0.2),CIFAR-10
9,1.0103611385121065,76.52,0.0005782172325201155,Mixup(alpha=0.2),CIFAR-10
10,0.9568342481885115,76.46,0.0005,Mixup(alpha=0.2),CIFAR-10
11,0.9092555552949686,75.89,0.0004217827674798847,Mixup(alpha=0.2),CIFAR-10
12,0.905436136609758,77.03,0.00034549150281252633,Mixup(alpha=0.2),CIFAR-10
13,0.9102307212779589,78.96,0.00027300475013022663,Mixup(alpha=0.2),CIFAR-10
14,0.8810964328858554,79.71,0.00020610737385376348,Mixup(alpha=0.2),CIFAR-10
15,0.839838542063218,79.04,0.00014644660940672625,Mixup(alpha=0.2),CIFAR-10
16,0.8345207536921782,81.21,9.549150281252631e-05,Mixup(alpha=0.2),CIFAR-10
17,0.8142024762642658,81.85,5.4496737905816096e-05,Mixup(alpha=0.2),CIFAR-10
18,0.8087148849311692,82.23,2.447174185242323e-05,Mixup(alpha=0.2),CIFAR-10
19,0.7942318481100185,82.26,6.15582970243117e-06,Mixup(alpha=0.2),CIFAR-10
20,0.7418469174591171,82.41,0.0,Mixup(alpha=0.2),CIFAR-10
1,3.752022246265655,14.83,0.0009938441702975688,Baseline,CIFAR-100
2,3.161875775403074,20.61,0.0009755282581475768,Baseline,CIFAR-100
3,2.8123770504046584,23.15,0.0009455032620941839,Baseline,CIFAR-100
4,2.576193458283954,31.05,0.0009045084971874737,Baseline,CIFAR-100
5,2.4014917773663846,32.04,0.0008535533905932737,Baseline,CIFAR-100
6,2.2326407746585737,36.35,0.0007938926261462366,Baseline,CIFAR-100
